BRAND,MODEL,IMAGE_URL
Nintendo,Switch,https://static.swappa.com/images/cache/switch.png
Nintendo,Switch Lite,https://static.swappa.com/images/cache/switch-lite.png
Nintendo,Switch OLED,https://static.swappa.com/images/cache/switch-oled.png
Nintendo,Game Boy (Original DMG-01),https://static.swappa.com/images/cache/5e/88/5e889a821414dd8b671fe104fba5195c.png
Nintendo,Game Boy Color,https://static.swappa.com/images/cache/95/97/959771820b21a2b974b1519595b66e3f.png
Nintendo,Game Boy Advance,https://static.swappa.com/images/cache/d0/82/d082b7426d3fa44dfe99b59cc0bf5ba6.png
Nintendo,Game Boy Advance SP,https://static.swappa.com/images/cache/f4/0b/f40bfcec129c16163565872913c05bcb.png
Nintendo,DS Original,https://static.swappa.com/images/cache/f4/dc/f4dca626ccb055f294c0166f3c34c11e.png
Nintendo,DS Lite,https://static.swappa.com/images/cache/76/02/76026295c0e5a6653c562663ff136044.png
Nintendo,DSi,https://static.swappa.com/images/cache/4d/a6/4da6e7d206be120a3ee8258dad3f4be4.png
Sony,PSP-1000,https://static.swappa.com/images/cache/ec/c8/ecc87614b4105ce99125d09e93bdb311.png
Sony,PSP-2000,https://static.swappa.com/images/cache/ec/c8/ecc87614b4105ce99125d09e93bdb311.png
Sony,PSP-3000,https://static.swappa.com/images/cache/ec/c8/ecc87614b4105ce99125d09e93bdb311.png
Sony,PS Vita 1000,https://static.swappa.com/images/cache/91/19/911971b0a77908248aee72ae7c69120d.png
Sony,PS Vita 2000,https://static.swappa.com/images/cache/91/19/911971b0a77908248aee72ae7c69120d.png
Sega,Game Gear,https://static.swappa.com/images/cache/b6/80/b6809db0c43e6a7e7c68820f2ad55b63.png