BRAND,MODEL,SIZE,price
Apple,MacBook Pro,"13""",
Apple,MacBook Air,"13""",
Apple,MacBook Pro,"13""",
Apple,MacBook Pro,"14""",
Apple,MacBook Pro,"14""",
Apple,MacBook Pro,"16""",
Apple,MacBook Pro,"16""",
Apple,MacBook Pro,"13""",
Dell,Inspiron Laptop,,267
Apple,MacBook Air,"15""",
Apple,MacBook Air,"13""",
Apple,MacBook Air,"13""",
Apple,MacBook Air,"13""",
Apple,MacBook Pro,"14""",
Dell,Latitude Laptop,,360
Apple,MacBook Pro,"16""",
Apple,MacBook Pro,"13""",
HP,Laptop,,334
Microsoft,Surface Laptop 4,,454
Apple,MacBook Air,"13""",
Microsoft,Surface Laptop 5,,646
Microsoft,Surface Laptop 3,,444
Apple,MacBook Pro,"15""",
Apple,MacBook Pro,"13""",
Apple,MacBook Pro,"13""",
Apple,MacBook Pro,"16""",
Apple,MacBook Air,"15""",
Apple,MacBook Air,"15""",
Apple,MacBook Air,"13""",
Google,Pixelbook Go,,341
Apple,MacBook Pro,"14""",
Apple,MacBook Retina,"12""",
Apple,MacBook Pro,"16""",
HP,Envy Laptop,,494
Microsoft,Surface Laptop 7,,952
HP,Omen Laptop,,1229
Microsoft,Surface Laptop Go,,231
Microsoft,Surface Laptop Business 7th Edition,,1374
Asus,ROG Zephyrus GA403U,"14""",
Microsoft,Surface Laptop 2,,260
Apple,MacBook Pro,"15""",
Samsung,Galaxy Book2 360,,385
Asus,Vivobook Laptop,,318
Dell,XPS 9500,"15""",
Microsoft,Surface Laptop Go 2,,499
Apple,MacBook Air,"13""",
Apple,MacBook Pro,"15""",
Apple,MacBook Air,"13""",
Apple,MacBook Pro,"15""",
Apple,MacBook Air,"13""",
Dell,XPS Plus 9320,"13""",
HP,EliteBook Laptop,,242
Lenovo,IdeaPad Chromebook,,104
HP,Pavilion Laptop,,252
Acer,Chromebook Spin 713,,191
Lenovo,Legion 7i,"16""",
Asus,ROG Flow GZ302,"13""",
Microsoft,Surface Laptop Studio,,589
Razer,Blade,"16""",
Asus,ROG Zephyrus GU605,"16""",
Lenovo,100e Chromebook,,79
Lenovo,ThinkPad Laptop,,948
Dell,Alienware Laptop,,807
Google,Pixelbook,,226
Apple,MacBook Pro,"15""",
Apple,MacBook Air,"11""",
Apple,MacBook Pro,"13""",
Apple,MacBook Air,"11""",
Apple,MacBook Pro,"13""",
Apple,MacBook Pro,"15""",
Apple,MacBook Pro,"15""",
Google,Chromebook Pixel 2nd Gen,,515
Microsoft,Surface Laptop 6,,1334
Thunderobot,Gaming Laptop,,1699
Dell,XPS 9305,"13""",
Asus,Chromebook Flip C434,,218
HP,Chromebook 13 G1,,350
Lenovo,Legion Pro 5,"16""",
Lenovo,Yoga Laptop,,597
Asus,ROG Flow GZ301,"13""",
HP,Spectre Laptop,,489
Apple,MacBook Air,"11""",
MSI,Katana Laptop,,618
Lenovo,Legion Pro 5i Gen 9,"16""",
Lenovo,Legion Pro 7i,"16""",
Asus,Laptop,,1028
Dell,XPS Laptop,,1236
HP,Chromebook 14B,,150
Samsung,Galaxy Book Ion,,494
Lenovo,Legion 5 Slim,"14""",
Lenovo,ThinkPad X1 Carbon,,772
Lenovo,ThinkPad E15,,309
Lenovo,ThinkPad C13 Yoga,"13""",
Lenovo,Legion 7i,"15""",
Lenovo,Legion 7 Slim,"16""",
Dell,XPS 9640,"16""",
Razer,Blade Stealth,"13.3""",
Asus,Chromebook Flip C433,,143
HP,Victus Gaming Laptop,,618
Lenovo,ThinkPad X1 Carbon,,468
MSI,Stealth AI Studio Gaming Laptop,,2060
Microsoft,Surface Laptop,"13""",
Lenovo,ThinkPad T14,,618
Lenovo,Legion Pro 7i,"16""",
Asus,Chromebook Plus CM34 Flip,,298
Lenovo,Legion 7 Slim,"16""",
HP,Victus Gaming Laptop,,618
Acer,Predator Gaming Laptop,,1545
Samsung,Galaxy Book Pro,,249
Samsung,Galaxy Book4 Ultra,,1545
Samsung,Galaxy Book Ion,,494
Acer,Swift Laptop,,896
Samsung,Galaxy Book S,,625
Dell,XPS 9640,"16""",
Asus,Chromebook Flip C433,,143
Razer,Blade,"15""",
Asus,ROG Flow GV302,"13""",
Microsoft,Surface Laptop 6,,1334
Lenovo,ThinkPad X1 Carbon,,1277
Lenovo,Legion 5 Slim,"14""",
Dell,XPS 9345,"13""",
Asus,Chromebook Flip C434,,218
Samsung,Galaxy Book5 Pro,,1236
ASUS,Chromebook Plus CX3402,"14""",
MSI,Stealth AI Studio Gaming Laptop,,2060
Lenovo,Legion Pro 7i Gen 10,"16""",
Lenovo,Legion 9i Gen 10,"18""",
Apple,MacBook Air,"11""",
Lenovo,ThinkPad P1,"16""",
Microsoft,Surface Laptop,,165
Apple,MacBook Pro,"14""",
HP,Chromebook 13 G1,,350
Lenovo,ThinkPad T14,,618
Asus,ROG Zephyrus GU605,"16""",
Thunderobot,Gaming Laptop,,1699
HP,Omnibook Laptop,,592
Microsoft,Surface Laptop,"13""",
Lenovo,ThinkPad X1 Carbon,,1498
Acer,Chromebook 15,,158
Lenovo,ThinkPad E15,,309
Dell,Pro Laptop,,1318
Lenovo,Legion Pro 5i Gen 9,"16""",
Lenovo,ThinkPad X1 Carbon,,1030
Asus,ROG Zephyrus GA403,"14""",
Razer,Blade Stealth,"13.3""",