BRAND,MODEL,CHIP/CPU,YEAR,RAM,SIZE,PRICE,relic
Apple,MacBook Pro,,2020,,"13""",406,
Apple,MacBook Air,,2020,,"13""",426,
Apple,MacBook Pro,,2022,,"13""",753,
Apple,MacBook Pro,M3,2023,,"14""",1339,
Apple,MacBook Pro,,2021,,"14""",750,
Apple,MacBook Pro,,2021,,"16""",930,
Apple,MacBook Pro,,2019,,"16""",532,
Apple,MacBook Pro,,2019,,"13""",309,
Dell,Inspiron Laptop,,,,,267,
Apple,MacBook Air,M2,2023,,"15""",816,
Apple,MacBook Air,,2018,,"13""",297,
Apple,MacBook Air,M2,2022,,"13""",639,
Apple,MacBook Air,M3,2024,,"13""",727,
Microsoft,Surface Pro 4,,,,12.3 Inch,167,
Apple,MacBook Pro,,2024,,"14""",1704,
Dell,Latitude Laptop,,,,,360,
Apple,MacBook Pro,,2024,,"16""",2664,
Microsoft,Surface Pro 5,,2017,,,182,
Microsoft,Surface Pro 3,,,,,145,
Apple,MacBook Pro,,2018,,"13""",295,
HP,Laptop,,,,,334,
Microsoft,Surface Laptop 4,,,,,454,
Microsoft,Surface Pro 7,,,,,330,
Apple,MacBook Air,M4,2025,,"13""",871,
Microsoft,Surface Pro 11,,,,,988,
Microsoft,Surface Laptop 5,,,,,646,
Microsoft,Surface Pro 6,,,,,286,
Microsoft,Surface Laptop 3,,,,,444,
Microsoft,Surface Book 3,,,,,708,
Apple,MacBook Pro,,2018,,"15""",349,
Apple,MacBook Pro,,2017,,"13""",323,
Apple,MacBook Pro,,2015,,"13""",225,
Apple,MacBook Pro,M3,2023,,"16""",1801,
Apple,MacBook Air,M3,2024,,"15""",1007,
Apple,MacBook Air,M4,2025,,"15""",999,
Apple,MacBook Air,,2017,,"13""",153,
Google,Pixelbook Go,,,,,341,
Apple,MacBook Pro,,2023,,"14""",1133,
Microsoft,Surface Pro 8,,,,,549,
Apple,MacBook Retina,,2017,,"12""",314,
Apple,MacBook Pro,,2023,,"16""",1283,
HP,Envy Laptop,,,,,494,
Microsoft,Surface Laptop 7,,,,,952,
Microsoft,Surface Book 2,,,,"13.5""",406,
Microsoft,Surface Pro 9,,,,,835,
HP,Omen Laptop,,,,,1229,
Microsoft,Surface Laptop Go,,,,,231,
Microsoft,Surface Pro 7 Plus,,,,,435,
Microsoft,Surface Pro X,,,,,548,
Microsoft,Surface Laptop Business 7th Edition,,,,,1374,
Asus,ROG Zephyrus GA403U,,2024,,"14""",1455,
Microsoft,Surface Book 2,,,,"15""",637,
Microsoft,Surface Laptop 2,,,,,260,
Apple,MacBook Pro,,2019,,"15""",387,
Samsung,Galaxy Book2 360,,,,,385,
Asus,Vivobook Laptop,,,,,318,
Dell,XPS 9500,,2020,,"15""",478,
Microsoft,Surface Laptop Go 2,,,,,499,
Apple,MacBook Air,,2015,,"13""",115,
Apple,MacBook Pro,,2015,,"15""",188,
Apple,MacBook Air,,2019,,"13""",238,
Apple,MacBook Pro,,2017,,"15""",271,
Apple,MacBook Air,,2014,,"13""",162,
Dell,XPS Plus 9320,,2023,,"13""",733,
HP,EliteBook Laptop,,,,,242,
Lenovo,IdeaPad Chromebook,,,,,104,
Lenovo,ThinkBook,,,,,481,
HP,Pavilion Laptop,,,,,252,
Acer,Chromebook Spin 713,,,,,191,
Lenovo,Legion 7i,,,,"16""",1364,
Asus,ROG Flow GZ302,,2025,,"13""",1926,
Microsoft,Surface Book,,,,,442,
Microsoft,Surface Laptop Studio,,,,,589,
Razer,Blade,,2023,,"16""",1545,
Asus,ROG Zephyrus GU605,,2025,,"16""",2769,
Lenovo,100e Chromebook,,,,,79,
Lenovo,ThinkPad Laptop,,,,,948,
Dell,Alienware Laptop,,,,,807,
Google,Pixelbook,,,,,226,
Apple,MacBook Pro,,2014,,"15""",218,
Apple,MacBook Air,,2015,,"11""",119,
Apple,MacBook Pro,,2017,,"13""",299,
Apple,MacBook Air,,2014,,"11""",118,
Apple,MacBook Pro,,2013,,"13""",107,
Apple,MacBook Pro,,2013,,"15""",115,
Apple,MacBook Pro,,2012,,"15""",595,
Google,Chromebook Pixel 2nd Gen,,,,,515,
Acer,C710,,,,,77,
Microsoft,Surface Laptop 6,,,,,1334,
Thunderobot,Gaming Laptop,,,,,1699,
Dell,XPS 9305,,2021,,"13""",249,
Asus,Chromebook Flip C434,,,,,218,
HP,Chromebook 13 G1,,,,,350,
Lenovo,Legion Pro 5,,,,"16""",1339,
Lenovo,Yoga Laptop,,,,,597,
Asus,ROG Flow GZ301,,2022,,"13""",927,
HP,Spectre Laptop,,,,,489,
Lenovo,Yoga N23,,,,,75,
Apple,MacBook Air,,2012,,"11""",128,
MSI,Katana Laptop,,,,,618,
Lenovo,Legion Pro 5i Gen 9,,,,"16""",1488,
Lenovo,Legion Pro 7i,,,,"16""",1799,
Asus,Laptop,,,,,1028,
Dell,XPS Laptop,,,,,1236,
HP,Chromebook 14B,,,,,150,
Samsung,Galaxy Book Ion,,,,,494,
Lenovo,Legion 5 Slim,,,,"14""",1019,
Lenovo,ThinkPad X1 Carbon,,,,,772,
Lenovo,ThinkPad E15,,,,,309,
Lenovo,ThinkPad C13 Yoga,,,,"13""",185,
Lenovo,Legion 7i,,,,"15""",381,
Lenovo,Legion 7 Slim,,,,"16""",875,
Dell,XPS 9640,,2024,,"16""",1071,
Razer,Blade Stealth,,2018,,"13.3""",398,
Asus,Chromebook Flip C433,,,,,143,
HP,Victus Gaming Laptop,,,,,618,
Lenovo,ThinkPad X1 Carbon,,,,,468,
MSI,Stealth AI Studio Gaming Laptop,,,,,2060,
Microsoft,Surface Laptop,,2025,,"13""",669,
Lenovo,ThinkPad T14,,,,,618,
Lenovo,Legion Pro 7i,,,,"16""",1799,
Asus,Chromebook Plus CM34 Flip,,,,,298,
Lenovo,Legion 7 Slim,,,,"16""",875,
HP,Victus Gaming Laptop,,,,,618,
Acer,Predator Gaming Laptop,,,,,1545,
Samsung,Galaxy Book Pro,,,,,249,
Samsung,Galaxy Book4 Ultra,,,,,1545,
Samsung,Galaxy Book Ion,,,,,494,
Acer,Swift Laptop,,,,,896,
Samsung,Galaxy Book S,,,,,625,
Dell,XPS 9640,,2024,,"16""",1071,
Asus,Chromebook Flip C433,,,,,143,
Razer,Blade,,2020,,"15""",449,
Asus,ROG Flow GV302,,2023,,"13""",1749,
Microsoft,Surface Laptop 6,,,,,1334,
Lenovo,ThinkPad X1 Carbon,,,,,1277,
Lenovo,Legion 5 Slim,,,,"14""",1019,
Dell,XPS 9345,,2024,,"13""",875,
Asus,Chromebook Flip C434,,,,,218,
ASUS,Zenbook DUO,,,,,978,
Samsung,Galaxy Book5 Pro,,,,,1236,
ASUS,Chromebook Plus CX3402,,,,"14""",325,
MSI,Stealth AI Studio Gaming Laptop,,,,,2060,
Lenovo,Legion Pro 7i Gen 10,,,,"16""",2298,
Lenovo,Yoga N23,,,,,75,
Lenovo,Legion 9i Gen 10,,,,"18""",3499,
Huawei,MateBook X Pro,,,,,694,
Apple,MacBook Air,,2012,,"11""",128,
Lenovo,ThinkPad P1,,,,"16""",1998,
Microsoft,Surface Laptop,,,,,165,
Apple,MacBook Pro,,2025,,"14""",1405,
HP,Chromebook 13 G1,,,,,350,
Lenovo,ThinkPad T14,,,,,618,
Asus,ROG Zephyrus GU605,,2024,,"16""",1905,
Thunderobot,Gaming Laptop,,,,,1699,
HP,Omnibook Laptop,,,,,592,
Microsoft,Surface Laptop,,2025,,"13""",669,
Lenovo,ThinkPad X1 Carbon,,,,,1498,
Acer,Chromebook 15,,,,,158,
Lenovo,ThinkPad E15,,,,,309,
Dell,Pro Laptop,,,,,1318,
Lenovo,Legion Pro 5i Gen 9,,,,"16""",1488,
Lenovo,ThinkPad X1 Carbon,,,,,1030,
Asus,ROG Zephyrus GA403,,2025,,"14""",1249,
Razer,Blade Stealth,,2018,,"13.3""",398,
Microsoft,Surface Pro 2,,,,,144,
Microsoft,Surface Pro,,,,,149,
Apple,iBook G3 (Original "Clamshell"),,,,,0,
Apple,iBook G3 12",,,,,"12""",0,
Apple,iBook G3 14",,,,,"14""",0,